SISN,REFD,LEVELDES,TITLE,DATECR,DATEACM,PHDESC,REFD_HIGHER,SCOPE,RESTRTX,TGU,ISA,CUSTOD,ASSMAT,RELMAT,AVAIL,PHYSCO,NOTES,ACCRUAL,FCODES,STATUSD,WEBD,DATESUBJ,DATEDSRC_BEGINNING,DATEDSRC_END,SCALE,GMD_1,GMD_2,GMD_3,GMD_4,GMD_5,GMD_6,GMD_7,GMD_8,ADMBIO,INDEXGEO_1,INDEXGEO_2,INDEXGEO_3,INDEXGEO_4,INDEXGEO_5,INDEXGEO_6,INDEXGEO_7,INDEXGEO_8,INDEXGEO_9,INDEXGEO_10,INDEXGEO_11,INDEXGEO_12,INDEXGEO_13,INDEXGEO_14,INDEXGEO_15,INDEXGEO_16,INDEXGEO_17,INDEXGEO_18,INDEXGEO_19,INDEXGEO_20,INDEXGEO_21,MODDATE,INDEXPROV,INDEXNAME,INDEXSUB,HOWTO,FINDAID:FINDAIDLINK:FINDAID_URL,IIL:IIL_URL,DATEOFF:OFFICEAB:AB_REFA:OFFICEC:C_REFA
15,C 19,Fonds,William E. Fleury fonds,"1911, 1936 - ca. 1981",,ca. 2018 architectural drawings; ca. 581 photographs; 72 centimetres of textual records; ca. 370 index cards,,"Fonds consists of the records of architect William E. Fleury and the records he created in partnership with Arthur, Barclay, Calvert, Jolicoeur, Leclerc, Ludlow, Piersol and Stern. Fonds includes records documenting Fleury's various projects.  Projects represented include: offices for Canada Packers Ltd.; the Service Building for Queen Elizabeth Hospital; the Collis Leather Factory; The Church of St. Andrew, Scarborough; Coliseum Building, Exhibitions Park, Canadian National Exhibition Grounds; Victoria College Women's Building; schools at Englehart, Guelph and Moosonee; and Robertson Davies's home in Albion Hills.  Fonds also contains correspondence, memoranda, brochures, accounts, certificates and inspection reports, pertaining to various projects, and an alphabetic and numerical list of jobs of Fleury's architectural firm, 1945-1964.  Fonds also includes records related to Fleury's work but created by other architects including Sproatt and Rolph, who were responsible for the earliest drawing  in the fonds of Victoria University dated 1911. Page and Steele were also responsible for creating records in this fonds.  Accrual to fonds consists mostly of photographs and architectural drawings of the interiors and exteriors of various buildings including Castle Frank High School, The Church of St. Andrew, Canada Packers Limited, the Women's Athletic Building for the University of Toronto, the Victoria University Student's Union, Collis Leather, the Takeishi residence and other unidentified structures. Some of the creators of these records include Bernard Peter Brown, Rein Raimet, Hugh Robertson - Panda Photography, and Leonard Tomiczek.   Also included are index cards originally stored in a wood box. The cards are filed alphabetically documenting jobs by architectural client, including the job number and year. In addition, the cards list jobs numerically by job number. As well there are time cards for architectural firm employees, including Uno Prii.  Cards also document information about trips; books borrowed from the firm; and magazines, some listed in German.",No restrictions on access.,Copyright held by the estate of the creator. These materials cannot be published without permission of the copyright holder. Some of the photographs may be in the Public Domain.,"Fonds was acquired by the Archives of Ontario in 1983 from William Fleury who at the time was associated with William H.J. Hitchen and B.G. Ludlow.; In 2014, an accrual donation was received from Bill and David Fleury.",,"The following repositories hold records associated with Fleury's employees: City of Toronto Archives, Fonds 1175, Leonard Tomiczek fonds; Dominion Modern, Hugh Robertson Collection; University of Calgary, Canadian Architectural Archives, Panda Associates fonds; University of Toronto, Fisher Library, MS Coll 00540 Raimet (Rein) Papers.","The Archives of Ontario also holds records created by Fleury's partner, Eric Arthur and records associated with Fleury's client, Canada Packers:  C 57, Eric Arthur fonds and C 262, Canada Packers fonds",,The records in the fonds are in generally good condition.,Title based on contents of the fonds.  Duplicates have been culled.,Further accruals are expected.,Accession Number: 15510,Approved,Y,,1911,1981,,Textual records,Graphic materials,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Fleury, William E., 1910-1983",,,"Consult the online list to identify the records that you require. Order using reference code, container number and barcode number. Please note that some of this material is stored off-site. A minimum of 1 business day is required to retrieve the material from off-site storage. Please contact a Reference Archivist for more information.",An online list is available for this fonds. : : :,: :,: : : : :
16,C 20,Fonds,Page & Steele Architects fonds,1924-1988,,8993 architectural drawings; 1.8 metres of textual records; 1830 photographs; 5 microfiches (architectural drawings),,"Fonds consists of the records created and accumulated by Page & Steele Architects. Fonds includes architectural drawings, change notices, orders, specifications, contracts, tenders, correspondence, progress reports, accounting records, filed instructions, drawings transmittal forms, work schedules, electrical and mechanical files, construction meeting minutes, slides and progress photographs from various projects.  Nearly all projects represented in this fonds are in the Toronto area, and include: Commerce Court office development; O'Keefe Performing Arts Centre (currently the Sony Centre, formerly known as the Hummingbird Centre); Beth Tzedec Synagogue; Kimbourne Park United Church; Moss Armoury; Regent Park South Housing Development; York University Chapel and Religious Centre; and Garden Court Apartments.",See series level descriptions for more information.,See series level descriptions for more information.,"The Page & Steele Architects fonds was donated to the Archives of Ontario in 1984, 1988, 1991, 1994 and 2006 by Page & Steele Architects.",,,"For related material pertaining to Page & Steele's collaboration with other architects, refer to the following series in the T. Eaton Company fonds: Corporate Property Management Office project files (F 229-501), Yorkdale Shopping Centre (Toronto) phase one expansion architectural drawings (F 229-501-78), Yorkdale Shopping Centre (Toronto) phase two expansion architectural drawings (F 229-501-79). See also the Harry B. Kohl fonds (C 15), Earle C. Morgan fonds (C 17), and Jack Ryrie fonds (C 25) for other projects on which Page & Steele Architects collaborated.  Additional records pertaining to work commissioned by Page & Steele Architects is found in the Lenscape Incorporated fonds, specifically series F 4593-1-215.",,,,Further accruals are not expected.,"Accession numbers 15463, 16408, 23148, 30027, and 30028.",Approved,Y,,1924,1988,,Textual records,Graphic materials,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,Page & Steele Architects (firm),,,See series level descriptions for more information.,See series level descriptions for more information. : : :,: :,: : : : :
17,C 21,Fonds,W. and W.R.L. Blackwell fonds,1885-1944,,ca. 400 architectural drawings,,"Fonds consists of the architectural drawings of Peterborough architects, William and Walter Rollston Lightbourne Blackwell.  Projects represented in the fonds include: Hospital for the Canadian General Electric Company; additions to the Peterborough Y.M.C.A.; Hospital for the General Electric Company; Rush Apartments; the Masonic Building; the Canadian Raybestos Company Building; and the Peterborough Lock Company Building.",No restrictions on access.,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,Fonds was acquired by the Archives of Ontario in 1985 from Mrs. W.L.R. Blackwell.,,,"For other Blackwell records, please consult C 22, the Craig, Zeidler and Strong fonds.",,,Title based on contents of the fonds.,,Accession Number: 16670,Approved,Y,,1885,1944,,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,W. and W.R.L. Blackwell (firm),,,Please consult Inventory for C 21 in order to narrow down your search.,An inventory is available for this fonds. : : :,: :,: : : : :
18,C 22,Fonds,"Craig, Zeidler and Strong fonds",1915-1967,,ca. 2000 architectural drawings,,"Fonds consists of the architectural drawings of Craig, Zeidler and Strong and its antecedents, predominantly Blackwell and Craig.  Major projects represented in this fonds were mostly undertaken in Peterborough and are as follows: Peterborough Civic Hospital; Peterborough Memorial Centre; Lakefield Preparatory School; Peterborough Collegiate Vocational School; Lakefield District High School; Peterborough Medical Centre; Abramsky Building; Cherney's store and warehouse; and Peterborough Golf and Country Club.  Fonds also includes a list, probably arranged in chronological order.",No restrictions on access.,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,Fonds was acquired in 1982 and 1983 from the Zeidler Roberts Partnership/Architects.,,,"For records of the predecessor firm, W. and W.R.L. Blackwell, please consult C 21.",,,Title based on contents of the fonds.,,Accession Number: 15744 and 15762,Approved,Y,,1915,1967,,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/14/2001,"Craig, Zeidler and Strong (firm)",,,Please consult Inventory for C 22 in order to narrow down your search.,An inventory is available for this fonds. : : :,: :,: : : : :
19,C 23,Fonds,McMurrich and Oxley fonds,1911-1986,,ca. 2500 architectural drawings; ca. 500 photographs; 60 centimetres of textual records,,"Fonds consists of the architectural drawings of McMurrich and Oxley and their predecessor, Sommerville, McMurrich and Oxley.  Fonds also contains some architectural drawings from Oxley and Chapman, Loren Arthur Oxley's father's architectural firm. The drawings are largely of Hamilton and Toronto buildings.  Various projects are documented in the fonds including: Holy Blossom Temple, 1936-1949; Prince's Gate, 1927; Royal Victoria Hospital, Barrie, 1965-1967; Peace Bridge Approach Plaza, Fort Erie, 1952-1960; Pembroke General Hospital, 1952-1955; Sault Ste. Marie International Bridge, Canadian Plaza, 1959 and 1960- 1962; Rainbow Bridge, Niagara Fall, Canadian Approach Plaza, 1949-1942; McMaster University Hamilton - various proposals, during the 1930's, 1940's, and 1950's; and the Junior Red Cross Hospital, Calgary, 1945- 1951.  Also represented are the Royal Ontario Museum, the Ontario Hospital at St. Thomas, and additions to St. Michael's Hospital in Toronto. Reference drawings of architects such as J.P. Hynes and A.A. Post are included.  In addition, fonds contains photographs, newspaper clippings and subject files pertaining to various projects, clients and architectural history.",No restrictions on access.,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,Fonds was acquired by the Archives of Ontario in 1984 and 1987 from McMurrich and Oxley.,,,,,,Title based on contents of the fonds.,,Accession Number: 16483 and 21065.,Approved,Y,,1911,1986,,Textual records,Graphic materials,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,McMurrich and Oxley (firm),,,Please consult the Inventory for C 23 in order to narrow down your search.,An inventory is available for this fonds. : : :,: :,: : : : :
20,C 24,Fonds,John H. Ross and Associates fonds,1964-1975,,966 architectural drawings; 45 photographs : slides,,"Fonds consists primarily of 966 engineering drawings representing 168 projects. The fonds includes mechanical and electrical engineering plans for all types of commercial, industrial, institutional and residential buildings.  The fonds also includes photographic slides of houses and buildings the firm worked upon.",No restrictions on access.,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,The engineering drawings within this fonds were acquired by the Archives of Ontario in 1980 from John H. Ross via the Ontario Heritage Engineering Records Foundation.; The slides were acquired from Mrs. Edna M. Ross in 2002.,,,,,,Title based on contents of the fonds.,,Accession Number: 13978,Approved,Y,,1964,1975,,Architectural and technical drawings,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/26/2002,John H. Ross and Associates,,,"Please consult the Inventory for C 24 to narrow down your search for the engineering drawings, or consult a Reference Archivist for information regarding access to the slides.",An inventory is available for the engineering drawings within this fonds. See inventory C 24. No finding aid is available for the slides. : : :,: :,: : : : :
21,C 26,Fonds,Thorkild C. Hansen fonds,1927-1990,,"5 film reels; 1 audio cassette; 541 photographs : prints and slides; 2 audio discs; ca. 90 centimetres of textual records; ca. 1,600 drawings : various media",,"Fonds consists of material created, received, and collected by Thor Hansen and by his daughter, Sister Anitra.  Fonds includes textual material such as correspondence, architectural drawings, sketches, publications, newspaper clippings, pamphlets and memoranda from the period 1927-1990.  Also included in the fonds are 525 photographs, primarily dealing with Hansen's work as an artist. They include interior views of British-American Oil Company buildings, as well as of artwork found within those buildings, ca. 1955- 1965. As well, there are five reels of motion picture film, with subject areas including the Toronto British-American Oil Company building, Native Indian handcrafts and figures, Toronto street scenes, and Thor Hansen at work.  Fonds also includes one audio cassette, dealing with Thor Hansen's retirement party and tribute speeches, 1968. Two undated audio discs are included, with Adrienne Clarkson interviewing Thor Hansen.",No access restrictions.,Copyright transferred to Archives of Ontario by donors. No restrictions on reproduction or publication of material for which the donor is authorized to transfer the copyright to the archives. Other material may require permission of third party copyright holders. Copyright for audio disks held by Canadian Broadcasting Corporation.,"Fonds was donated to the Archives of Ontario in 2 accessions: in 1982 by wife Donna Hansen, and in 1990 by his daughter, Sister Anitra of the Sisterhood of St. John the Divine.",,,,"Please request the reference copy on DVD 1 contains AV 101-1 (SMI_00001 and 00002), AV 101-2 (SMI_00003) and AV 101-4 (SMI_00004).",,Title based on contents of fonds.,,"Accession numbers 15079, 15080, 24573.",Review,Y,,1927,1990,,Textual records,Graphic materials,Sound recordings,Moving images,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Hansen, Thorkild C., 1903-1976",,,"Check the DVD register - 3 films are on DVD 1. Please consult with a Reference Archivist regarding the finding aid, then order by reference code and container number.",A typescript inventory and file list is available for this fonds. Consult a Reference Archivist for more information. : : :,: :,: : : : :
22,C 27,Fonds,Arthur Heeney fonds,1941-1984,,ca. 1700 architectural drawings; ca. 210 photographs; 1.2 metres of textual records,,"Fonds consists of the records of architectural draftsman, Arthur Heeney Junior.  Fonds includes ca 1700 architectural drawings of Heeney's numerous projects including the Toronto Hospital for Consumptives in Weston and the Muskoka Hospital in Gravenhurst.  Fonds also contains ca. 210 photographs of various projects.  In addition fonds contains correspondence with clients, memoranda, and newspaper clippings relating to hospitals.",No restrictions on access.,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,Fonds was acquired by the Archives of Ontario in 1987 from the family of Arthur Heeney Junior.,,,,,,Title based on contents of the fonds.,,Accession Number: 21154,Approved,Y,,1941,1984,,Textual records,Graphic materials,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Heeney, Arthur, 1900-1987",,,First consult the Inventory for C 27 in order to narrow down search.,An inventory is available for this fonds. : : :,: :,: : : : :
23,C 28,Fonds,Ray M. Hall fonds,1916-1960,,2579 architectural drawings; 7 photographs : black & white prints; 13 centimetres of textual records; 2 artifacts; 1 plan,,"Fonds consists of records created and accumulated by Galt architect, Ray M. Hall.  Projects represented are predominantly from the Galt area and include residences for Hespeler Housing Commission; stores for J.A. McIrvine, Galt; a school for the Galt School Board; a residence for H.C. McLaughlin on the Hamilton Highway near Galt; buildings for the Galt Malleable Iron Company; and the Registry Office for the County of Waterloo in Kitchener, Ontario.  The records were organized into four series based on record type (i.e. architectural drawings; specifications; photographs, etc.). The arrangement order of the series is by the firm's chronologically assigned project numbers.  The first two digits of each project number represent the year in the twentieth century when the drawings were executed (i.e. job number ""47012"" is the twelfth project drawing in 1947).",No restrictions on access.,"Records are in the public domain. There are no restrictions on reproduction for research and private study. If you wish to use other than for research and private study any of this material, submit a Request for Permission to Publish, Exhibit or Broadcast Form.","Fonds was acquired in 1987 from Ray M. Hall's son, Basil M. Hall.",,,,Fonds is also available on microfilm.,,Title based on contents of the fonds.,,Accession Number: 16968,Approved,Y,,1916,1960,,Textual records,Graphic materials,Architectural and technical drawings,Cartographic materials,Artifacts,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Hall, Ray M., 1892-1960",,,Please see series descriptions for more information on how to access these records.,Please see series descriptions for more information. : : :,: :,: : : : :
24,C 30,Fonds,Northway-Gestalt Corporation fonds,1946-1978,,"1000 remote-sensing reels (ca.118,250 photographs : black and white negatives); 31,594 photographs : black and white negatives; 1033 photographs : black and white prints ; 2673 photographs : colour transparencies; 215 photographs : colour negatives; 30 photographs : colour prints; 1.4 metres of textual records; 950 maps : printed (with annotations); 16 maps : drawings on tracing paper; 19 maps : drawings on plastic film; 1.6 metres of textual records (index cards); 1 volume of textual records",,"Fonds consists of vertical and oblique aerial photography taken by the Northway-Gestalt Corporation Ltd., and its predecessors, for a variety of clients.  The fonds also includes related job files for the majority of high-level vertical aerial photography jobs, a card file geographic index of vertical photography jobs, and a card file inventory of vertical aerial photography negative rolls.  The low oblique aerial images in this fonds consist of black-and-white photonegatives and colour transparencies. These images include stock shots of various geographical regions throughout Ontario for aerial survey purposes as well as for speculative and publicity purposes. Most of the photos are of Ontario, especially in the Toronto area, but a small number are outside the province. The oblique photographs are arranged in a numbering system devised by the Northway-Gestalt Corporation. The numbering system groups together photographs taken on a particular flight, and within that images are arranged by geographic location and subject.",Consult the series descriptions for further information.,"Copyright has been transferred to the Archives of Ontario by the donor. There are no restrictions on reproduction for research and private study.  If you wish to use any of this material for a purpose other than research and private study, submit a Request for Permission to Publish, Exhibit or Broadcast Form.","The Northway-Gestalt Corporation fonds was donated to the Archives of Ontario in 1983 by Spar Aerospace Ltd. An accrual was donated in 2018 by a successor company, L3 Technologies MAS Inc.",,The City of Toronto Archives also has materials from the Northway-Gestalt Corporation.,"Additional photography created by the company is held by Northway / Photomap / Remote Sensing Limited, 75 Hooper Road, Barrie, ON L4N 9S3. 705-730-6694. http://www.northway-photomap.com.",,,Title of the fonds is based upon the creator of the materials.,Further accruals may be expected.,Accession number 16215.,Approved,Y,,1946,1978,,Graphic materials,Cartographic materials,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/09/2001,Northway-Gestalt Corporation,,,Consult the individual series descriptions for further information.,Consult the individual series descriptions for finding aid information. : : :,: :,: : : : :
